藏品ID,名称,轮廓,价值,品质,品类,描述,图标资源ID
403608,特种兵·侦察,3×3（9格）,1280000,红品,奢品,基础款，暗色战术涂装，标准战斗姿态，随处可见的经典款,icon_cp_sp_06_008_hd
403609,特种兵·暗袭,3×3（9格）,8880000,红品,奢品,进阶款，全黑夜间涂装，隐匿于暗影之中，无声无息,icon_cp_sp_06_009_hd
403610,特种兵·狙杀,3×3（9格）,8880000,红品,奢品,进阶款，狙击姿态，配备高倍镜步枪，百步穿杨,icon_cp_sp_06_010_hd
403611,特种兵·突击,3×3（9格）,8880000,红品,奢品,进阶款，突击姿态，随时突破防线，冲锋在前,icon_cp_sp_06_011_hd
403612,特种兵·传奇,3×3（9格）,68880000,红品,奢品,隐藏款，纯金涂装，披风猎猎，极稀有现身，身份象征,icon_cp_sp_06_012_hd
403626,幻彩封神车,3×2（6格）,38880000,红品,奢品,一辆幻彩封神车，车身流光变幻，造型凌厉夺目，S1名车盛典结算排行第1获得--S1名车盛典专属,icon_cp_sp_06_015_hd
403627,黄金卫冕者,3×2（6格）,28880000,红品,奢品,一辆黄金卫冕者，车身金色华贵，线条沉稳而充满力量，S1名车盛典结算排行前10获得--S1名车盛典专属,icon_cp_sp_06_014_hd
403628,零号起跑线,3×2（6格）,18880000,红品,奢品,一辆零号起跑线，车身设计简洁利落，充满蓄势待发的速度感，S1名车盛典结算排行前100获得--S1名车盛典专属,icon_cp_sp_06_013_hd
403629,宇航员·行者,2×3（6格）,1180000,红品,奢品,基础款，行者在低重力月面提着采样袋稳步前行，每一步都要防止扬起的月尘干扰装备--登月计划活动专属,icon_cp_sp_06_029_hd
403630,宇航员·采集员,2×3（6格）,1180000,红品,奢品,基础款，采集员用采样铲收集月壤并封入标本盒，细小颗粒封存着月球漫长的撞击历史--登月计划活动专属,icon_cp_sp_06_030_hd
403631,宇航员·摄影师,2×3（6格）,6880000,红品,奢品,进阶款，摄影师举起特制相机记录月面，强烈阳光与深邃阴影让每一次取景都需精确校准--登月计划活动专属,icon_cp_sp_06_031_hd
403632,宇航员·观测员,2×3（6格）,6880000,红品,奢品,进阶款，观测员手持观测仪追踪掠过天际的彗星，冰尘物质受太阳加热后形成明亮彗尾--登月计划活动专属,icon_cp_sp_06_032_hd
403633,宇航员·旗手,2×3（6格）,6880000,红品,奢品,进阶款，旗手将任务旗固定在月壤中，旗帜依靠横向支杆展开于近乎无风的月面--登月计划活动专属,icon_cp_sp_06_033_hd
403634,宇航员·启航者,2×3（6格）,26880000,红品,奢品,隐藏款，启航者迈出探索月面的关键一步，月壤足迹因缺少风雨侵蚀而能留存很久--登月计划活动专属,icon_cp_sp_06_034_hd
501601,大力神杯,2×3（6格）,689800,红品,古董,金色杯身托起地球，1974年启用至今，世界杯冠军荣誉的最高象征,icon_cp_gd_06_001_hd
501602,未鉴宫灯,2×2（4格）,69460,红品,古董,一件尚待鉴定的宫灯，铜质灯体纹饰细密，表面覆有岁月痕迹--古董周活动专属,icon_cp_gd_06_002_hd
501603,未鉴奔马俑,2×2（4格）,109700,红品,古董,一件尚待鉴定的奔马俑，奔马造型灵动，局部泛出古铜光泽--古董周活动专属,icon_cp_gd_06_003_hd
501604,未鉴彩俑,1×2（2格）,180600,红品,古董,一件尚待鉴定的彩俑，人物形态生动，表面留有彩绘痕迹--古董周活动专属,icon_cp_gd_06_004_hd
501605,未鉴驼俑,2×2（4格）,255900,红品,古董,一件尚待鉴定的陶俑，骆驼造型，表面覆有斑驳彩釉--古董周活动专属,icon_cp_gd_06_005_hd
501606,未鉴珐琅炉,3×3（9格）,618000,红品,古董,一件尚待鉴定的珐琅炉，炉身饰有彩色纹样，釉面流光隐现--古董周活动专属,icon_cp_gd_06_006_hd
501607,黄金虎符奖杯,2×2（4格）,9980000,红品,古董,一座象征鉴宝荣誉的黄金虎符奖杯，杯身饰有古朴虎形纹饰，古董周活动结算排行第1获得--古董周活动专属,icon_cp_gd_06_007_hd
501608,白银虎符奖杯,2×2（4格）,7980000,红品,古董,一座象征鉴宝荣誉的白银虎符奖杯，杯身饰有规整虎形纹饰，古董周活动结算排行前3获得--古董周活动专属,icon_cp_gd_06_008_hd
501609,青铜虎符奖杯,2×2（4格）,5980000,红品,古董,一座象征鉴宝荣誉的青铜虎符奖杯，杯身饰有古拙虎形纹饰，古董周活动结算排行前10获得--古董周活动专属,icon_cp_gd_06_009_hd
501610,淘珍纪念古剑,3×1（3格）,198000,红品,古董,一柄古朴的错金古剑，剑身刻有细密纹饰，古董周活动参与奖励--古董周活动专属,icon_cp_gd_06_010_hd
501611,浑天仪,2×2（4格）,148100,红品,古董,青铜浑天仪，星环层叠，推演日月星辰运行--登月计划活动专属,icon_cp_gd_06_011_hd
501612,天文望远镜,3×4（12格）,307500,红品,古董,黄铜天文望远镜，木质支架，镜筒直指月面--登月计划活动专属,icon_cp_gd_06_012_hd
502601,会徽胸章,1×1（1格）,242600,红品,珠宝,鎏金盾牌造型，搭配祖母绿纹理的金属胸章，把整届赛事压进衣襟之间,icon_cp_zb_06_001_hd
502602,待琢绯钻,1×1（1格）,67620,红品,珠宝,一枚尚待开琢的绯钻，通体深红，内部似有暗色流光--珠宝周活动专属,icon_cp_zb_06_002_hd
502603,待琢猫眼,1×1（1格）,115000,红品,珠宝,一枚尚待开琢的猫眼，金绿石体中央隐约浮现游光--珠宝周活动专属,icon_cp_zb_06_003_hd
502604,待琢蓝宝石,1×1（1格）,182600,红品,珠宝,一枚尚待开琢的蓝宝石，色泽深邃，晶体通透纯净--珠宝周活动专属,icon_cp_zb_06_004_hd
502605,待琢金刚石,1×1（1格）,257000,红品,珠宝,一枚尚待开琢的金刚石，晶体棱角分明，表面折射出冷冽光泽--珠宝周活动专属,icon_cp_zb_06_005_hd
502606,待琢灵珠,1×1（1格）,642400,红品,珠宝,一枚尚待开琢的灵珠，珠体温润幽暗，表面萦绕微弱光晕--珠宝周活动专属,icon_cp_zb_06_006_hd
502607,心晶金奖杯,2×2（4格）,9980000,红品,珠宝,一座象征鉴宝荣誉的心晶金奖杯，通透杯身嵌有心形彩晶，珠宝周活动结算排行第1获得--珠宝周活动专属,icon_cp_zb_06_007_hd
502608,心晶银奖杯,2×2（4格）,7980000,红品,珠宝,一座象征鉴宝荣誉的心晶银奖杯，通透杯身嵌有心形彩晶，珠宝周活动结算排行前3获得--珠宝周活动专属,icon_cp_zb_06_008_hd
502609,心晶铜奖杯,2×2（4格）,5980000,红品,珠宝,一座象征鉴宝荣誉的心晶铜奖杯，通透杯身嵌有心形彩晶，珠宝周活动结算排行前10获得--珠宝周活动专属,icon_cp_zb_06_009_hd
502610,估宝纪念胸针,2×2（4格）,198000,红品,珠宝,一枚精致的紫翡胸针，紫色晶石镶嵌于华美底座，珠宝周活动参与奖励--珠宝周活动专属,icon_cp_zb_06_010_hd
502611,阿波罗任务徽章,1×1（1格）,235200,红品,珠宝,登月任务纪念徽章，金属压印图案，象征逐月使命--登月计划活动专属,icon_cp_zb_06_011_hd
503601,三重浪足球,2×2（4格）,417700,红品,奢品,黑白经典六边形拼接，辅以黑金鎏金波浪纹理，尽显高端赛事典藏质感,icon_cp_sp_06_001_hd
503602,10号球衣,2×3（6格）,573300,红品,奢品,蓝白条纹10号球衣，背号压在球迷记忆中央，卫冕冠军的夏日信物,icon_cp_sp_06_002_hd
503603,AWM狙击枪,6×2（12格）,600600,红品,奢品,AWM狙击步枪，搭载.338拉普阿弹药，远程精密射击的一枪定胜负之选,icon_cp_sp_06_003_hd
503604,三级复合头盔,2×2（4格）,321300,红品,奢品,三级复合头盔，凯夫拉+PE复合材质，全防护战术头盔,icon_cp_sp_06_004_hd
503605,三级战术防弹衣,2×2（4格）,357000,红品,奢品,三级战术防弹衣，插板式陶瓷防弹，覆盖躯干核心区域,icon_cp_sp_06_005_hd
503606,破片手榴弹,1×1（1格）,152300,红品,奢品,破片手榴弹，延时引信+破片杀伤，单兵面杀伤武器,icon_cp_sp_06_006_hd
503607,特战军牌,1×2（2格）,210000,红品,奢品,特战军牌，不锈钢蚀刻身份铭牌，单兵身份识别标识,icon_cp_sp_06_007_hd
503608,特种兵·侦察,3×3（9格）,1280000,红品,奢品,基础款，暗色战术涂装，标准战斗姿态，随处可见的经典款,icon_cp_sp_06_008_hd
503609,特种兵·暗袭,3×3（9格）,8880000,红品,奢品,进阶款，全黑夜间涂装，隐匿于暗影之中，无声无息,icon_cp_sp_06_009_hd
503610,特种兵·狙杀,3×3（9格）,8880000,红品,奢品,进阶款，狙击姿态，配备高倍镜步枪，百步穿杨,icon_cp_sp_06_010_hd
503611,特种兵·突击,3×3（9格）,8880000,红品,奢品,进阶款，突击姿态，随时突破防线，冲锋在前,icon_cp_sp_06_011_hd
503612,特种兵·传奇,3×3（9格）,68880000,红品,奢品,隐藏款，纯金涂装，披风猎猎，极稀有现身，身份象征,icon_cp_sp_06_012_hd
