id,name,description,field_1,field_2,field_3,field_4,field_5,field_6,value,field_8,field_9,icon,detail_icon
901101,残陶碗,民窑破碗，底足无款，市井旧物,1,1,1,2,2,4,285,0,0,icon_cp_gd_01_001,icon_dj_cp_gd_01_001
901102,碎瓷片,碎青花瓷片，发色杂乱，垫桌角尚可,1,1,1,2,2,4,689,0,0,icon_cp_gd_01_002,icon_dj_cp_gd_01_002
901103,旧铜烟嘴,铜皮木杆烟嘴，旧物一枚，无收藏溢价,1,1,1,2,1,2,227,0,0,icon_cp_gd_01_003,icon_dj_cp_gd_01_003
901104,旧铜锁,老铜锁簧片锈死，钥匙早已丢失,1,1,1,2,2,4,414,0,0,icon_cp_gd_01_004,icon_dj_cp_gd_01_004
901105,小木摆件,杂木小雕件，刀法简拙，市井摆件,1,1,1,2,1,2,418,0,0,icon_cp_gd_01_005,icon_dj_cp_gd_01_005
901106,窗花剪纸,旧窗花剪纸，红色鲜艳，节庆装饰,1,1,1,1,1,1,147,0,0,icon_cp_gd_01_006,icon_dj_cp_gd_01_006
901107,粗陶泥偶,手工粗陶泥偶，指痕尚在，拙朴无华,1,1,1,1,2,2,205,0,0,icon_cp_gd_01_007,icon_dj_cp_gd_01_007
901108,草编鲤鱼,草编鲤鱼，稻草泛黄，民俗小物件,1,1,1,2,2,4,373,0,0,icon_cp_gd_01_008,icon_dj_cp_gd_01_008
901109,贝币串,仿古贝币串，打磨光润，年代不可考,1,1,1,1,1,1,151,0,0,icon_cp_gd_01_009,icon_dj_cp_gd_01_009
901110,骨针筒,骨制针筒，简刻线纹，旧时女红之物,1,1,1,2,1,2,197,0,0,icon_cp_gd_01_010,icon_dj_cp_gd_01_010
901201,民国小瓷杯,民国薄胎搪瓷杯，彩绘花卉，旧器一枚,1,1,2,2,2,4,818,0,0,icon_cp_gd_02_001,icon_dj_cp_gd_02_001
901202,民国小砚台,民国端石小砚，磨痕深陷，入门文房件,1,1,2,2,2,4,844,0,0,icon_cp_gd_02_002,icon_dj_cp_gd_02_002
901203,清代小铜件,清铜杂件，包浆自然，无名匠之作,1,1,2,2,2,4,1654,0,0,icon_cp_gd_02_003,icon_dj_cp_gd_02_003
